Sample,Mean Wind Power,Standard Deviation,Average,Variability,,,
35,2914.530833,1200.894335,0.291453083,0.400298112,,,
36,4651.190833,1648.426706,0.465119083,0.549475569,,,
37,3936.305833,1591.267318,0.393630583,0.530422439,,,
38,3366.700417,892.9675327,0.336670042,0.297655844,,,
39,3004.272083,1427.994954,0.300427208,0.475998318,,,
40,5954.073333,531.6448723,0.595407333,0.177214957,,,
41,7322.448333,895.4372674,0.732244833,0.298479089,,,
42,8551.557083,1518.573856,0.855155708,0.506191285,,,
43,4093.295,465.8542037,0.4093295,0.155284735,,,
44,3349.175,1418.088051,0.3349175,0.472696017,,,
45,6379.992083,1340.413887,0.637999208,0.446804629,,,
46,3623.50625,772.7874037,0.362350625,0.257595801,,,
47,1483.1325,641.4218361,0.14831325,0.213807279,,,
48,6161.65625,1509.053872,0.616165625,0.503017957,,,
49,8379.7925,1057.634386,0.83797925,0.352544795,,,
50,8762.67625,983.4631191,0.876267625,0.32782104,,,
51,3259.214583,1116.895768,0.325921458,0.372298589,,,
52,5429.209167,1383.990391,0.542920917,0.46133013,,,
53,3396.486667,1329.723256,0.339648667,0.443241085,,,
54,1796.11125,607.3776657,0.179611125,0.202459222,,,
55,1269.6075,529.8021681,0.12696075,0.176600723,,,
56,1280.302917,933.4829,0.128030292,0.311160967,,,
57,5696.40875,1094.551829,0.569640875,0.36485061,,,
58,7261.037083,389.1081821,0.726103708,0.129702727,,,
59,4419.128333,1457.440104,0.441912833,0.485813368,,,
60,2914.150417,342.6963763,0.291415042,0.114232125,,,
61,1618.74125,740.4129261,0.161874125,0.246804309,,,
62,4469.311667,1853.093337,0.446931167,0.617697779,,,
63,4832.390417,1903.947966,0.483239042,0.634649322,,,
64,5570.38625,1825.661148,0.557038625,0.608553716,,,
65,2550.784583,1598.846762,0.255078458,0.532948921,,,
66,3723.097917,1255.326232,0.372309792,0.418442077,,,
67,4757.665833,1620.832436,0.475766583,0.540277479,,,
68,6070.58125,516.8175348,0.607058125,0.172272512,,,
69,7499.70125,597.8367597,0.749970125,0.19927892,,,
70,5320.72,720.3719126,0.532072,0.240123971,,,
71,7645.56,1147.803693,0.764556,0.382601231,,,
72,3713.472083,1398.603,0.371347208,0.466201,,,
73,2955.452083,1979.782519,0.295545208,0.659927506,,,
74,2817.807917,904.0263905,0.281780792,0.30134213,,,
75,3368.885833,1099.857369,0.336888583,0.366619123,,,
76,5385.482917,1813.883246,0.538548292,0.604627749,,,
77,7380.5325,655.2638853,0.73805325,0.218421295,,,
78,6504.679583,1357.781555,0.650467958,0.452593852,,,
79,6723.7425,1402.115811,0.67237425,0.467371937,,,
80,1697.542917,832.0080466,0.169754292,0.277336016,,,
81,734.85125,426.0256765,0.073485125,0.142008559,,,
82,1311.462917,1074.334031,0.131146292,0.358111344,,,
83,5607.619583,1299.921604,0.560761958,0.433307201,,,
84,6760.278333,949.3806368,0.676027833,0.316460212,,,
85,1749.8725,1239.608744,0.17498725,0.413202915,,,
86,1709.506667,453.7576729,0.170950667,0.151252558,,,
87,1847.919167,983.0640804,0.184791917,0.327688027,,,
88,3183.114167,1333.855231,0.318311417,0.44461841,,,
89,4373.22875,1224.588968,0.437322875,0.408196323,,,
90,6372.932083,1411.929972,0.637293208,0.470643324,,,
91,4360.620417,1590.035013,0.436062042,0.530011671,,,
92,1797.417917,573.9303967,0.179741792,0.191310132,,,
93,4917.86375,1466.040165,0.491786375,0.488680055,,,
94,5183.489167,1575.297407,0.518348917,0.525099136,,,
95,5276.521667,1601.289118,0.527652167,0.533763039,,,
96,6375.334167,677.0354698,0.637533417,0.22567849,,,
97,2766.685417,890.7693734,0.276668542,0.296923124,,,
98,3600.27875,1287.770935,0.360027875,0.429256978,,,
99,6191.091667,320.5623811,0.619109167,0.106854127,,,
100,4220.705833,895.0358148,0.422070583,0.298345272,,,
101,3471.275417,418.3121642,0.347127542,0.139437388,,,
102,4101.630417,807.7413189,0.410163042,0.269247106,,,
103,3179.366667,723.0790384,0.317936667,0.241026346,,,
104,7307.861667,812.8651914,0.730786167,0.270955064,,,
105,6504.5475,1475.001543,0.65045475,0.491667181,,,
106,2394.357917,715.3040751,0.239435792,0.238434692,,,
107,4978.0675,1018.746726,0.49780675,0.339582242,,,
108,6765.174583,984.2381689,0.676517458,0.32807939,,,
109,8185.131667,991.2933164,0.818513167,0.330431105,,,
110,2735.094167,1227.392986,0.273509417,0.409130995,,,
111,6191.527083,872.361446,0.619152708,0.290787149,,,
112,4711.565833,1501.120078,0.471156583,0.500373359,,,
113,5709.58125,1389.779936,0.570958125,0.463259979,,,
114,4839.659167,1794.919992,0.483965917,0.598306664,,,
115,4338.162083,1340.459603,0.433816208,0.446819868,,,
116,5822.569167,1511.313169,0.582256917,0.503771056,,,
117,2961.46625,1193.87881,0.296146625,0.397959603,,,
118,5274.264583,445.4803576,0.527426458,0.148493453,,,
119,3372.049583,1454.070646,0.337204958,0.484690215,,,
120,6763.905833,1424.852184,0.676390583,0.474950728,,,
121,7063.315417,392.7470024,0.706331542,0.130915667,,,
122,6883.000417,522.4017956,0.688300042,0.174133932,,,
123,6338.265,353.8903443,0.6338265,0.117963448,,,
124,5212.24875,1078.22597,0.521224875,0.359408657,,,
125,1879.717083,634.5539927,0.187971708,0.211517998,,,
126,882.46375,687.2565446,0.088246375,0.229085515,,,
127,739.3416667,358.1644871,0.073934167,0.119388162,,,
128,1560.02625,504.1392381,0.156002625,0.168046413,,,
129,3810.799167,1814.36092,0.381079917,0.604786973,,,
130,3935.108333,1520.62495,0.393510833,0.506874983,,,
131,6659.21125,1271.591193,0.665921125,0.423863731,,,
132,2718.204583,884.1829153,0.271820458,0.294727638,,,
133,5093.76,1766.35135,0.509376,0.588783783,,,
134,6052.325,1328.740327,0.6052325,0.442913442,,,
135,3202.590417,1934.417446,0.320259042,0.644805815,,,
136,1947.89375,852.2376246,0.194789375,0.284079208,,,
137,3199.331667,800.5747079,0.319933167,0.266858236,,,
138,3944.5825,1534.630524,0.39445825,0.511543508,,,
139,4918.0575,874.3888619,0.49180575,0.291462954,,,
140,6206.509167,1322.326611,0.620650917,0.440775537,,,
141,4023.418333,1002.085815,0.402341833,0.334028605,,,
142,4037.974167,1281.284758,0.403797417,0.427094919,,,
143,4618.36375,1182.924638,0.461836375,0.394308213,,,
144,5406.745417,765.1574274,0.540674542,0.255052476,,,
145,5882.11375,543.9088749,0.588211375,0.181302958,,,
146,5523.659167,673.8931091,0.552365917,0.224631036,,,
147,3528.685,933.8068107,0.3528685,0.311268937,,,
148,1501.149167,688.663655,0.150114917,0.229554552,,,
149,4247.404167,1229.272136,0.424740417,0.409757379,,,
150,7026.63,544.4314271,0.702663,0.181477142,,,
151,6944.18875,824.4076607,0.694418875,0.274802554,,,
152,4922.12,1250.014859,0.492212,0.41667162,,,
153,2394.774167,1740.380668,0.239477417,0.580126889,,,
154,2906.064167,1411.928081,0.290606417,0.470642694,,,
155,4117.355833,1057.210364,0.411735583,0.352403455,,,
156,1659.38375,299.9672314,0.165938375,0.099989077,,,
157,1343.508333,265.7238876,0.134350833,0.088574629,,,
158,726.1870833,352.4297139,0.072618708,0.117476571,,,
159,4074.478333,1345.311755,0.407447833,0.448437252,,,
160,3917.299583,1003.760698,0.391729958,0.334586899,,,
161,862.8541667,487.1944346,0.086285417,0.162398145,,,
162,2170.704583,946.7765518,0.217070458,0.315592184,,,
163,4450.744583,1634.560916,0.445074458,0.544853639,,,
164,2684.34875,1684.748434,0.268434875,0.561582811,,,
165,4985.324583,1317.437667,0.498532458,0.439145889,,,
166,2674.3225,682.2654847,0.26743225,0.227421828,,,
167,1976.567917,508.4515082,0.197656792,0.169483836,,,
168,2303.824583,964.7793692,0.230382458,0.321593123,,,
169,1312.08375,463.2011154,0.131208375,0.154400372,,,
170,3143.626667,1004.215486,0.314362667,0.334738495,,,
171,6271.075833,695.8805061,0.627107583,0.231960169,,,
172,5539.557083,1164.656706,0.553955708,0.388218902,,,
173,3511.219167,951.5343864,0.351121917,0.317178129,,,
174,3900.465417,1267.314578,0.390046542,0.422438193,,,
175,2865.3675,620.3039263,0.28653675,0.206767975,,,
176,2749.8425,462.4615875,0.27498425,0.154153862,,,
177,2649.492083,958.8016011,0.264949208,0.319600534,,,
178,3779.98125,1680.502078,0.377998125,0.560167359,,,
179,6792.73625,1671.124532,0.679273625,0.557041511,,,
180,5186.565833,1346.846894,0.518656583,0.448948965,,,
181,2465.771667,563.8102223,0.246577167,0.187936741,,,
182,2062.630417,525.2797245,0.206263042,0.175093241,,,
183,975.09375,348.6327353,0.097509375,0.116210912,,,
184,890.78,864.0512125,0.089078,0.288017071,,,
185,3889.922917,1333.685773,0.388992292,0.444561924,,,
186,5195.439583,842.3873496,0.519543958,0.280795783,,,
187,4688.68625,940.0886238,0.468868625,0.313362875,,,
188,2872.913333,1116.686039,0.287291333,0.37222868,,,
189,1381.020417,796.9636385,0.138102042,0.265654546,,,
190,2656.096667,448.4549132,0.265609667,0.149484971,,,
191,2478.49125,1529.766192,0.247849125,0.509922064,,,
192,2937.323333,1436.323943,0.293732333,0.478774648,,,
193,5964.637917,328.8904165,0.596463792,0.109630139,,,
194,4495.145,1233.787189,0.4495145,0.411262396,,,
195,2808.685417,1299.94146,0.280868542,0.43331382,,,
196,1568.804167,764.3848423,0.156880417,0.254794947,,,
197,2128.992917,1048.564779,0.212899292,0.349521593,,,
198,1807.4575,866.8800258,0.18074575,0.288960009,,,
199,4855.110833,1469.00767,0.485511083,0.489669223,,,
200,3958.895833,1700.385228,0.395889583,0.566795076,,,
201,829.3583333,530.0904833,0.082935833,0.176696828,,,
202,1254.122917,752.0869591,0.125412292,0.250695653,,,
203,2977.355,637.5380026,0.2977355,0.212512668,,,
204,2043.421667,827.8299387,0.204342167,0.275943313,,,
205,644.48875,294.2811893,0.064448875,0.09809373,,,
206,2715.805833,705.6789076,0.271580583,0.235226303,,,
207,4545.1675,1544.183761,0.45451675,0.51472792,,,
208,2650.784583,753.2336551,0.265078458,0.251077885,,,
209,1762.939167,792.1910151,0.176293917,0.264063672,,,
210,1647.342917,329.5295849,0.164734292,0.109843195,,,
211,577.0704167,502.4322324,0.057707042,0.167477411,,,
212,870.7954167,416.7549745,0.087079542,0.138918325,,,
213,1257.303333,549.1709072,0.125730333,0.183056969,,,
214,1413.235417,241.8379519,0.141323542,0.080612651,,,
215,999.01875,474.8568728,0.099901875,0.158285624,,,
216,1346.760417,673.7250393,0.134676042,0.224575013,,,
217,1508.313333,976.0316067,0.150831333,0.325343869,,,
218,1626.74125,592.6631182,0.162674125,0.197554373,,,
219,1496.757083,600.5499383,0.149675708,0.200183313,,,
220,911.76875,635.3927521,0.091176875,0.211797584,,,
221,1366.255417,421.7092904,0.136625542,0.140569763,,,
222,420.2233333,295.1474115,0.042022333,0.098382471,,,
223,1110.064167,651.6156244,0.111006417,0.217205208,,,
224,1148.793333,465.178261,0.114879333,0.15505942,,,
225,1520.84375,462.0622302,0.152084375,0.154020743,,,
226,866.6575,530.8891611,0.08666575,0.176963054,,,
227,1023.5475,393.8033107,0.10235475,0.13126777,,,
228,1102.51,315.8152147,0.110251,0.105271738,,,
229,2211.989583,529.896563,0.221198958,0.176632188,,,
230,2763.842083,929.0286853,0.276384208,0.309676228,,,
231,3400.646667,822.3083531,0.340064667,0.274102784,,,
232,3969.000417,1035.024337,0.396900042,0.345008112,,,
233,3617.62875,1668.712791,0.361762875,0.556237597,,,
234,1560.209167,777.4272013,0.156020917,0.2591424,,,
235,2546.712917,1137.209038,0.254671292,0.379069679,,,
236,5455.142083,747.8538079,0.545514208,0.249284603,,,
237,6090.117917,701.8784307,0.609011792,0.233959477,,,
238,4970.54,1469.607916,0.497054,0.489869305,,,
239,3573.164583,1616.760005,0.357316458,0.538920002,,,
240,1228.449583,623.008283,0.122844958,0.207669428,,,
241,1779.709167,695.5865945,0.177970917,0.231862198,,,
242,2021.29875,691.0319264,0.202129875,0.230343975,,,
243,1172.700417,358.5390955,0.117270042,0.119513032,,,
244,3104.2375,878.666431,0.31042375,0.29288881,,,
245,1506.048333,573.8409198,0.150604833,0.191280307,,,
246,1084.165833,524.5849131,0.108416583,0.174861638,,,
247,1233.030833,700.8132576,0.123303083,0.233604419,,,
248,1577.14375,854.1790315,0.157714375,0.284726344,,,
249,3758.09375,767.5819162,0.375809375,0.255860639,,,
250,2724.234167,1303.349223,0.272423417,0.434449741,,,
251,2349.246667,708.1683336,0.234924667,0.236056111,,,
252,4015.071667,1136.410081,0.401507167,0.37880336,,,
253,2827.1225,848.9540416,0.28271225,0.282984681,,,
254,1548.36625,500.7257972,0.154836625,0.166908599,,,
255,3180.922083,633.4082197,0.318092208,0.211136073,,,
256,2030.993333,875.3345016,0.203099333,0.291778167,,,
257,4457.982917,726.2753286,0.445798292,0.242091776,,,
258,3744.78125,1064.920589,0.374478125,0.35497353,,,
259,2493.150833,954.0179926,0.249315083,0.318005998,,,
260,4273.862917,506.7397114,0.427386292,0.168913237,,,
261,5042.364583,819.4947776,0.504236458,0.273164926,,,
262,4854.19,927.9243346,0.485419,0.309308112,,,
263,4285.486667,1082.636792,0.428548667,0.360878931,,,
264,1812.627917,750.7305606,0.181262792,0.25024352,,,
265,5046.476667,870.4426207,0.504647667,0.29014754,,,
266,5867.182917,511.7984849,0.586718292,0.170599495,,,
267,2044.465,1600.783572,0.2044465,0.533594524,,,
268,2966.79625,1536.8696,0.296679625,0.512289867,,,
269,5941.549583,436.6422011,0.594154958,0.1455474,,,
270,6068.54625,404.2593096,0.606854625,0.134753103,,,
271,5290.653333,1305.634171,0.529065333,0.43521139,,,
272,4621.677917,1075.337877,0.462167792,0.358445959,,,
273,5711.06,694.2167511,0.571106,0.231405584,,,
274,4186.884583,2139.410169,0.418688458,0.713136723,,,
275,3723.807083,861.2483078,0.372380708,0.287082769,,,
276,2465.25125,496.9983514,0.246525125,0.165666117,,,
277,4684.727917,768.4663403,0.468472792,0.256155447,,,
278,4124.84625,607.5095163,0.412484625,0.202503172,,,
279,3313.864167,1091.672838,0.331386417,0.363890946,,,
280,2972.95375,1244.89954,0.297295375,0.414966513,,,
281,5916.689583,775.9600902,0.591668958,0.258653363,,,
282,5044.74125,1309.432246,0.504474125,0.436477415,,,
283,4966.419167,966.4476125,0.496641917,0.322149204,,,
284,6953.097917,1042.864746,0.695309792,0.347621582,,,
285,5569.839583,940.574066,0.556983958,0.313524689,,,
286,1452.772917,1087.444861,0.145277292,0.36248162,,,
287,5895.925,1376.678041,0.5895925,0.45889268,,,
288,6685.767083,489.3619223,0.668576708,0.163120641,,,
289,2844.995833,1517.720357,0.284499583,0.505906786,,,
290,2899.299583,1400.710579,0.289929958,0.466903526,,,
291,3528.819583,1060.825815,0.352881958,0.353608605,,,
292,3478.273333,1074.182685,0.347827333,0.358060895,,,
293,4925.928333,1614.515884,0.492592833,0.538171961,,,
294,3440.284583,1303.277927,0.344028458,0.434425976,,,
295,1778.693333,386.3920238,0.177869333,0.128797341,,,
296,2123.175,840.6189798,0.2123175,0.280206327,,,
297,3361.150833,1054.505517,0.336115083,0.351501839,,,
298,5949.554583,2538.512811,0.594955458,0.846170937,,,
299,6034.799167,2296.937852,0.603479917,0.765645951,,,
300,5233.336667,1260.21574,0.523333667,0.420071913,,,
301,5608.98875,1027.775429,0.560898875,0.34259181,,,
302,3006.594583,957.4745341,0.300659458,0.319158178,,,
303,1980.61,704.1562831,0.198061,0.234718761,,,
304,3454.282917,774.3277825,0.345428292,0.258109261,,,
305,5761.744583,581.3306256,0.576174458,0.193776875,,,
306,2989.024167,1307.290768,0.298902417,0.435763589,,,
307,7232.315,1267.072204,0.7232315,0.422357401,,,
308,6397.877083,2416.357649,0.639787708,0.80545255,,,
309,4259.372083,2055.772467,0.425937208,0.685257489,,,
310,5314.902083,1701.65135,0.531490208,0.567217117,,,
311,3866.29875,642.7670656,0.386629875,0.214255689,,,
312,6169.420417,1354.889253,0.616942042,0.451629751,,,
313,7994.617917,531.7114707,0.799461792,0.177237157,,,
314,4167.640417,1432.151319,0.416764042,0.477383773,,,
315,7013.45,578.021176,0.701345,0.192673725,,,
316,3802.045417,1714.057405,0.380204542,0.571352468,,,
317,8659.445,638.5237815,0.8659445,0.212841261,,,
318,5504.143333,1547.772827,0.550414333,0.515924276,,,
319,4353.605417,2281.95341,0.435360542,0.760651137,,,
320,7436.727083,359.1037312,0.743672708,0.119701244,,,
321,6255.985833,2128.91879,0.625598583,0.709639597,,,
322,5388.225417,1948.600155,0.538822542,0.649533385,,,
323,6601.265833,843.7266576,0.660126583,0.281242219,,,
324,6267.495417,1480.562795,0.626749542,0.493520932,,,
325,5646.421667,1104.618587,0.564642167,0.368206196,,,
326,5014.538333,1256.28218,0.501453833,0.418760727,,,
327,4899.82125,1773.158963,0.489982125,0.591052988,,,
328,7017.815417,2032.750377,0.701781542,0.677583459,,,
329,7569.368333,1387.692898,0.756936833,0.462564299,,,
330,7153.045,817.7684319,0.7153045,0.272589477,,,
331,4571.517917,1290.058199,0.457151792,0.4300194,,,
332,3913.742083,1572.315185,0.391374208,0.524105062,,,
333,5071.225833,2031.155187,0.507122583,0.677051729,,,
334,4201.85625,2501.646761,0.420185625,0.833882254,,,
335,1337.1675,937.0388546,0.13371675,0.312346285,,,
336,4073.145417,412.0153277,0.407314542,0.137338443,,,
337,2881.714583,362.7819135,0.288171458,0.120927304,,,
338,4524.9675,2537.48922,0.45249675,0.84582974,,,
339,7919.004167,994.8805494,0.791900417,0.33162685,,,
340,4054.654583,704.1848837,0.405465458,0.234728295,,,
341,1766.602917,1123.392243,0.176660292,0.374464081,,,
342,2009.108333,727.6404687,0.200910833,0.242546823,,,
343,6134.516667,884.9774973,0.613451667,0.294992499,,,
344,5630.443333,1552.313742,0.563044333,0.517437914,,,
345,4723.186667,1369.207294,0.472318667,0.456402431,,,
346,4190.546667,1903.532306,0.419054667,0.634510769,,,
347,4063.619583,917.515089,0.406361958,0.305838363,,,
348,3376.815833,743.3374338,0.337681583,0.247779145,,,
349,2183.496667,431.6147549,0.218349667,0.143871585,,,
350,3384.490417,1142.157026,0.338449042,0.380719009,,,
